500	86800
600	38200
700	72900
800	57600
900	68800
1000	73500
1100	80700
1200	92100
1300	105800
1400	135700
1500	136800
1600	145100
1700	155700
1800	157400
1900	173600
2000	253900
2100	219900
2200	403100
2300	511200
2400	219500
2500	223900
2600	229100
2700	257300
2800	293000
2900	303400
3000	335800
3100	322100
3200	297000
3300	340000
3400	347400
3500	365200
3600	393900
3700	343800
3800	372400
3900	523400
4000	378700
4100	393700
4200	406400
4300	642500
4400	498400
4500	481200
4600	743900
4700	489700
4800	454600
4900	492600
5000	461700
5100	781100
5200	528200
5300	565500
5400	623100
5500	589100
5600	659600
5700	594400
5800	670700
5900	656600
6000	647900
6100	655200
6200	641800
6300	701800
6400	660900
6500	682700
6600	692000
6700	715100
6800	760500
6900	725200
7000	758600
7100	751100
7200	765000
7300	892300
7400	766100
7500	814900
7600	807700
7700	788500
7800	841700
7900	914400
8000	1536100
8100	940500
8200	1036900
8300	1095500
8400	1118200
8500	900700
8600	905700
8700	913900
8800	914000
8900	1578800
9000	983300
9100	976400
9200	1050900
9300	901600
9400	964900
9500	983200
9600	1122200
9700	986000
9800	981500
9900	1020900
10000	1038700
