500	183300
600	308000
700	301700
800	212900
900	227400
1000	247900
1100	260800
1200	282400
1300	367300
1400	615800
1500	773700
1600	757100
1700	800200
1800	859800
1900	435400
2000	507100
2100	497400
2200	523100
2300	711100
2400	1215000
2500	720700
2600	729100
2700	735900
2800	706100
2900	718000
3000	1016300
3100	1166300
3200	1132900
3300	865000
3400	875800
3500	843400
3600	844300
3700	918500
3800	936100
3900	956800
4000	970200
4100	1033400
4200	1089800
4300	1246400
4400	1373800
4500	1368700
4600	1158300
4700	1239400
4800	1212800
4900	1209300
5000	1246000
5100	1325100
5200	1336600
5300	1351900
5400	1369600
5500	1382700
5600	1396300
5700	1762400
5800	1693200
5900	1857400
6000	1634000
6100	1800400
6200	1569600
6300	1607000
6400	1780500
6500	2115800
6600	2537100
6700	1745700
6800	2181100
6900	1834300
7000	1760200
7100	1795900
7200	1845700
7300	1886100
7400	2629700
7500	2361400
7600	2275100
7700	2187000
7800	2214900
7900	2037600
8000	2065500
8100	2735200
8200	2646200
8300	2344100
8400	2200300
8500	2230700
8600	2207000
8700	2682500
8800	2950100
8900	2546400
9000	2816700
9100	2765200
9200	2410900
9300	2434500
9400	2599400
9500	2596900
9600	2517800
9700	2708400
9800	2581500
9900	2609700
10000	2893600
